contrast,task_id,difference_lower,difference_upper,state
ROTATING_M-FIXED_M,leetcode/3731,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/abc392_b,0.0,0.0,tie
ROTATING_M-FIXED_M,leetcode/3654,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/abc371_b,0.3333333333333333,0.3333333333333333,gain
ROTATING_M-FIXED_M,atcoder/abc388_f,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/arc195_a,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/arc194_e,0.0,0.0,tie
ROTATING_M-FIXED_M,leetcode/3485,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/abc375_e,0.0,0.0,tie
ROTATING_M-FIXED_M,leetcode/3805,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/arc183_b,0.0,0.0,tie
ROTATING_M-FIXED_M,leetcode/3548,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/abc374_d,0.0,0.0,tie
ROTATING_M-FIXED_M,leetcode/3637,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/arc185_c,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/abc390_d,0.3333333333333333,0.3333333333333333,gain
ROTATING_M-FIXED_M,leetcode/3692,0.0,0.0,tie
ROTATING_M-FIXED_M,leetcode/3608,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/abc380_g,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/abc399_b,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/abc365_a,-0.3333333333333333,-0.3333333333333333,loss
ROTATING_M-FIXED_M,atcoder/abc379_d,0.3333333333333333,0.3333333333333333,gain
ROTATING_M-FIXED_M,atcoder/abc374_c,0.6666666666666666,0.6666666666666666,gain
ROTATING_M-FIXED_M,atcoder/abc399_e,0.0,0.0,tie
ROTATING_M-FIXED_M,leetcode/3777,0.0,0.0,tie
ROTATING_M-FIXED_M,leetcode/3605,0.3333333333333333,0.3333333333333333,gain
ROTATING_M-FIXED_M,atcoder/arc192_b,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/abc398_b,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/abc391_b,0.6666666666666666,0.6666666666666666,gain
ROTATING_M-FIXED_M,atcoder/abc371_c,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/abc393_a,0.0,0.0,tie
ROTATING_M-FIXED_M,leetcode/3763,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/abc400_g,0.0,0.0,tie
ROTATING_M-FIXED_M,leetcode/3502,0.3333333333333333,0.3333333333333333,gain
ROTATING_M-FIXED_M,atcoder/abc385_a,0.3333333333333333,0.3333333333333333,gain
ROTATING_M-FIXED_M,atcoder/abc373_b,0.0,0.0,tie
ROTATING_M-FIXED_M,leetcode/3518,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/abc377_b,-0.3333333333333333,-0.3333333333333333,loss
ROTATING_M-FIXED_M,leetcode/3832,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/abc391_e,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/abc368_c,0.6666666666666666,0.6666666666666666,gain
ROTATING_M-FIXED_M,leetcode/3495,-0.3333333333333333,-0.3333333333333333,loss
ROTATING_M-FIXED_M,leetcode/3789,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/arc185_b,0.0,0.0,tie
ROTATING_M-FIXED_M,leetcode/3736,0.6666666666666666,0.6666666666666666,gain
ROTATING_M-FIXED_M,atcoder/abc370_f,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/arc188_d,0.0,0.0,tie
ROTATING_M-FIXED_M,leetcode/3788,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/abc393_b,0.0,0.0,tie
ROTATING_M-FIXED_M,leetcode/3682,-0.3333333333333333,-0.3333333333333333,loss
ROTATING_M-FIXED_M,leetcode/3744,0.6666666666666666,0.6666666666666666,gain
ROTATING_M-FIXED_M,atcoder/abc398_g,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/abc398_d,1.0,1.0,gain
ROTATING_M-FIXED_M,atcoder/arc181_a,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/abc374_b,0.3333333333333333,0.3333333333333333,gain
ROTATING_M-FIXED_M,atcoder/abc372_g,0.0,0.0,tie
ROTATING_M-FIXED_M,atcoder/arc194_d,0.0,0.0,tie
ROTATING_M-FIXED_M,leetcode/3751,0.0,0.0,tie
