task_id,condition,seed_index,path,sha256,sampler_identity_sha256,terminal_attempt_id,scope_complete,checkpoint_persistence_seconds,checkpoint_preparation_seconds,telemetry_seconds,progress_publish_seconds,result_materialization_seconds,identity_binding_seconds,scope,exclusions
leetcode/3731,FIXED_M,0,secondary/tasks/leetcode__3731/FIXED_M/seed_0/sampler/completion_timing.json,f10226a64422f8e9efbb658d84f381f31b71f44af90896a6dea60763b943ac25,ef2401dee9b907aaa63efc638ce049265f893b9ee491b47d9a4dcc41b48690e4,1789867978338162413.json,True,0.07396900979802012,0.009825547691434622,0.07204108964651823,0.07473368803039193,0.01072313915938139,0.0068510668352246284,"Cumulative known measurements along this durable transaction through this snapshot. Persistence measures resume.json write(), including JSON serialization, file/directory fsync and atomic replacement. Preparation measures checkpoint assembly/logit fingerprint/hash work. Telemetry and publish measure the unchanged callback calls; identity binding is outside active time. Materialization measures record/complete receipt binding and hashing. Failed calls contribute observed time.","['Attempt and completion timing receipt writes, lock acquisition, checkpoint reads and uninstrumented setup.', 'Any call currently in progress; final checkpoint/materialization follow the result snapshot and are available only in completion_timing.json.', 'Later completed-result retrievals are separate attempts and never mutate completion_timing.json.']"
leetcode/3731,FIXED_M,1,secondary/tasks/leetcode__3731/FIXED_M/seed_1/sampler/completion_timing.json,4c3638eb9805f395f8cae8a665ece960480079e35a5ada4f6761faabbe4c885c,387bf4739a67f5fa24990b07d6d14b586bd78792e230335b5a527454ffa035e4,1789867999192030106.json,True,0.07689581718295813,0.008229028433561325,0.07583256950601935,0.09328400855883956,0.012635685037821531,0.0052374061197042465,"Cumulative known measurements along this durable transaction through this snapshot. Persistence measures resume.json write(), including JSON serialization, file/directory fsync and atomic replacement. Preparation measures checkpoint assembly/logit fingerprint/hash work. Telemetry and publish measure the unchanged callback calls; identity binding is outside active time. Materialization measures record/complete receipt binding and hashing. Failed calls contribute observed time.","['Attempt and completion timing receipt writes, lock acquisition, checkpoint reads and uninstrumented setup.', 'Any call currently in progress; final checkpoint/materialization follow the result snapshot and are available only in completion_timing.json.', 'Later completed-result retrievals are separate attempts and never mutate completion_timing.json.']"
leetcode/3731,FIXED_M,2,secondary/tasks/leetcode__3731/FIXED_M/seed_2/sampler/completion_timing.json,0b3ce21b8488751c76e482198084fec68c01101c67745906dd9030e606af7d38,d776cf8a2f2670d1d6454be4d0bb47216200434c8473de079a8b55bcc5323335,1789868021232657558.json,True,0.09391189459711313,0.017872619908303022,0.10238657798618078,0.09936886606737971,0.014816445298492908,0.005386206787079573,"Cumulative known measurements along this durable transaction through this snapshot. Persistence measures resume.json write(), including JSON serialization, file/directory fsync and atomic replacement. Preparation measures checkpoint assembly/logit fingerprint/hash work. Telemetry and publish measure the unchanged callback calls; identity binding is outside active time. Materialization measures record/complete receipt binding and hashing. Failed calls contribute observed time.","['Attempt and completion timing receipt writes, lock acquisition, checkpoint reads and uninstrumented setup.', 'Any call currently in progress; final checkpoint/materialization follow the result snapshot and are available only in completion_timing.json.', 'Later completed-result retrievals are separate attempts and never mutate completion_timing.json.']"
leetcode/3731,ROTATING_M,0,secondary/tasks/leetcode__3731/ROTATING_M/seed_0/sampler/completion_timing.json,584aeeaeef0ac912f665f3cecf6e8d71459e93ad20e2c80ea431a9395e5e8dd9,28f9fdd90ecb0e75836f2000c0cd84572567c4daaefe55f26c1dcbe18c770d28,1789868045486978736.json,True,0.07498978031799197,0.00881736446171999,0.08069744659587741,0.09191864216700196,0.012508104089647532,0.00605354318395257,"Cumulative known measurements along this durable transaction through this snapshot. Persistence measures resume.json write(), including JSON serialization, file/directory fsync and atomic replacement. Preparation measures checkpoint assembly/logit fingerprint/hash work. Telemetry and publish measure the unchanged callback calls; identity binding is outside active time. Materialization measures record/complete receipt binding and hashing. Failed calls contribute observed time.","['Attempt and completion timing receipt writes, lock acquisition, checkpoint reads and uninstrumented setup.', 'Any call currently in progress; final checkpoint/materialization follow the result snapshot and are available only in completion_timing.json.', 'Later completed-result retrievals are separate attempts and never mutate completion_timing.json.']"
leetcode/3731,ROTATING_M,1,secondary/tasks/leetcode__3731/ROTATING_M/seed_1/sampler/completion_timing.json,cba286989fd540599a2c693e31567ffb01fc956930470a51537ff6f322baf990,18969b46a67b028097c803b76789eb6aa712695c9b725d5dedc591862222a050,1789868068892050964.json,True,0.08683765819296241,0.01031259261071682,0.09133408917114139,0.0921604884788394,0.011662669014185667,0.00575066776946187,"Cumulative known measurements along this durable transaction through this snapshot. Persistence measures resume.json write(), including JSON serialization, file/directory fsync and atomic replacement. Preparation measures checkpoint assembly/logit fingerprint/hash work. Telemetry and publish measure the unchanged callback calls; identity binding is outside active time. Materialization measures record/complete receipt binding and hashing. Failed calls contribute observed time.","['Attempt and completion timing receipt writes, lock acquisition, checkpoint reads and uninstrumented setup.', 'Any call currently in progress; final checkpoint/materialization follow the result snapshot and are available only in completion_timing.json.', 'Later completed-result retrievals are separate attempts and never mutate completion_timing.json.']"
leetcode/3731,ROTATING_M,2,secondary/tasks/leetcode__3731/ROTATING_M/seed_2/sampler/completion_timing.json,8f307eb500f32782302c85ffbafda003bdd68091aa49bfed9ed4f69858eb262c,7203e50d7766e83ccf65f2d3fe2734123bb2f3d1ebdbd786cc2bc37d0dff6c78,1789868094087401146.json,True,0.07311683846637607,0.008626775816082954,0.0876129656098783,0.09206863911822438,0.012200222816318274,0.005159159190952778,"Cumulative known measurements along this durable transaction through this snapshot. Persistence measures resume.json write(), including JSON serialization, file/directory fsync and atomic replacement. Preparation measures checkpoint assembly/logit fingerprint/hash work. Telemetry and publish measure the unchanged callback calls; identity binding is outside active time. Materialization measures record/complete receipt binding and hashing. Failed calls contribute observed time.","['Attempt and completion timing receipt writes, lock acquisition, checkpoint reads and uninstrumented setup.', 'Any call currently in progress; final checkpoint/materialization follow the result snapshot and are available only in completion_timing.json.', 'Later completed-result retrievals are separate attempts and never mutate completion_timing.json.']"
leetcode/3731,FIXED_H,0,secondary/tasks/leetcode__3731/FIXED_H/seed_0/sampler/completion_timing.json,5fe193732d8e7bc96803e058e872d8a771e3f9016ff8dc4f557d870dccf85532,80a79aa682758a1ee70079f8efd7935d3b5ae74e27674822acf71e4fd2231282,1789868120194348576.json,True,0.08185447147116065,0.012072115205228329,0.0813743551261723,0.08704407000914216,0.012234695721417665,0.007661462761461735,"Cumulative known measurements along this durable transaction through this snapshot. Persistence measures resume.json write(), including JSON serialization, file/directory fsync and atomic replacement. Preparation measures checkpoint assembly/logit fingerprint/hash work. Telemetry and publish measure the unchanged callback calls; identity binding is outside active time. Materialization measures record/complete receipt binding and hashing. Failed calls contribute observed time.","['Attempt and completion timing receipt writes, lock acquisition, checkpoint reads and uninstrumented setup.', 'Any call currently in progress; final checkpoint/materialization follow the result snapshot and are available only in completion_timing.json.', 'Later completed-result retrievals are separate attempts and never mutate completion_timing.json.']"
leetcode/3731,FIXED_H,1,secondary/tasks/leetcode__3731/FIXED_H/seed_1/sampler/completion_timing.json,24f1619c046d5270b701e153e244ec7ccf40359974dbe5dee136f40435743e32,51c2c78515b096aaeaaf9eb8527aacad092d93a647f02072c7fd17dfb0e3d1f6,1789868142673690598.json,True,0.07566197449341416,0.008380262181162834,0.08051758771762252,0.09351407503709197,0.011883656959980726,0.005222725681960583,"Cumulative known measurements along this durable transaction through this snapshot. Persistence measures resume.json write(), including JSON serialization, file/directory fsync and atomic replacement. Preparation measures checkpoint assembly/logit fingerprint/hash work. Telemetry and publish measure the unchanged callback calls; identity binding is outside active time. Materialization measures record/complete receipt binding and hashing. Failed calls contribute observed time.","['Attempt and completion timing receipt writes, lock acquisition, checkpoint reads and uninstrumented setup.', 'Any call currently in progress; final checkpoint/materialization follow the result snapshot and are available only in completion_timing.json.', 'Later completed-result retrievals are separate attempts and never mutate completion_timing.json.']"
leetcode/3731,FIXED_H,2,secondary/tasks/leetcode__3731/FIXED_H/seed_2/sampler/completion_timing.json,72279685e3fa50a2cb1f04026dd136172ce5ff978d4768bb81cb683b81269189,d1a92d0a86cd39ceebdeea90557c4d9a4e5c14302c51e4bb9ec463bb74860cb4,1789868164745130718.json,True,0.0638113459572196,0.007451373152434826,0.0684196031652391,0.0679987259209156,0.011139052920043468,0.005868772976100445,"Cumulative known measurements along this durable transaction through this snapshot. Persistence measures resume.json write(), including JSON serialization, file/directory fsync and atomic replacement. Preparation measures checkpoint assembly/logit fingerprint/hash work. Telemetry and publish measure the unchanged callback calls; identity binding is outside active time. Materialization measures record/complete receipt binding and hashing. Failed calls contribute observed time.","['Attempt and completion timing receipt writes, lock acquisition, checkpoint reads and uninstrumented setup.', 'Any call currently in progress; final checkpoint/materialization follow the result snapshot and are available only in completion_timing.json.', 'Later completed-result retrievals are separate attempts and never mutate completion_timing.json.']"
leetcode/3731,ROTATING_H,0,secondary/tasks/leetcode__3731/ROTATING_H/seed_0/sampler/completion_timing.json,cf8d0d7b3eca8d89a94930acae254e4cf853e8ca9e77288852e246af9e5d612e,129e658a8a045071468eb329d4d6e161bd3a3fb615687d88a4d7dbef313038d2,1789868187908381310.json,True,0.25032318849116564,0.009684705641120672,0.11840602662414312,0.12116368534043431,0.01311948336660862,0.010590718127787113,"Cumulative known measurements along this durable transaction through this snapshot. Persistence measures resume.json write(), including JSON serialization, file/directory fsync and atomic replacement. Preparation measures checkpoint assembly/logit fingerprint/hash work. Telemetry and publish measure the unchanged callback calls; identity binding is outside active time. Materialization measures record/complete receipt binding and hashing. Failed calls contribute observed time.","['Attempt and completion timing receipt writes, lock acquisition, checkpoint reads and uninstrumented setup.', 'Any call currently in progress; final checkpoint/materialization follow the result snapshot and are available only in completion_timing.json.', 'Later completed-result retrievals are separate attempts and never mutate completion_timing.json.']"
